name_en,rxcui,vn_aliases
Amlodipine 10 MG Oral Tablet,308135,amlodipin|amlodipine
Aspirin 81 MG Oral Tablet,243670,aspirin
metoprolol succinate XL 50 MG Oral Tablet,866436,metoprolol
Guaifenesin Oral Solution,392085,guaifenesin
Nystatin Oral Suspension,7597,nystatin
Acetaminophen 325-650 MG Oral Tablet,313782,paracetamol|acetaminophen
Pravastatin 40 MG Oral Tablet,904475,pravastatin
Docusate Sodium 100 MG Oral Capsule,1099279,docusate
Senna 8.6 MG Oral Tablet,312935,senna
Clonazepam 0.5 MG Oral Tablet,197527,clonazepam
Clonazepam 1.5 MG Oral Tablet,197528,clonazepam
